store_id,category_id,month_start,units_sold,year,month,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_mean_6
1,1,2016-01-01,6,2016,1,,,,,,
1,2,2016-01-01,4,2016,1,,,,,,
1,3,2016-01-01,14,2016,1,,,,,,
1,4,2016-01-01,6,2016,1,,,,,,
1,5,2016-01-01,5,2016,1,,,,,,
1,6,2016-01-01,22,2016,1,,,,,,
1,7,2016-01-01,0,2016,1,,,,,,
2,1,2016-01-01,24,2016,1,,,,,,
2,2,2016-01-01,12,2016,1,,,,,,
2,3,2016-01-01,66,2016,1,,,,,,
2,4,2016-01-01,10,2016,1,,,,,,
2,5,2016-01-01,3,2016,1,,,,,,
2,6,2016-01-01,40,2016,1,,,,,,
2,7,2016-01-01,0,2016,1,,,,,,
3,1,2016-01-01,0,2016,1,,,,,,
3,2,2016-01-01,2,2016,1,,,,,,
3,3,2016-01-01,2,2016,1,,,,,,
3,4,2016-01-01,2,2016,1,,,,,,
3,5,2016-01-01,2,2016,1,,,,,,
3,6,2016-01-01,1,2016,1,,,,,,
3,7,2016-01-01,0,2016,1,,,,,,
1,1,2016-02-01,8,2016,2,6.0,,,,6.0,6.0
1,2,2016-02-01,8,2016,2,4.0,,,,4.0,4.0
1,3,2016-02-01,19,2016,2,14.0,,,,14.0,14.0
1,4,2016-02-01,4,2016,2,6.0,,,,6.0,6.0
1,5,2016-02-01,2,2016,2,5.0,,,,5.0,5.0
1,6,2016-02-01,8,2016,2,22.0,,,,22.0,22.0
1,7,2016-02-01,0,2016,2,0.0,,,,0.0,0.0
2,1,2016-02-01,31,2016,2,24.0,,,,24.0,24.0
2,2,2016-02-01,28,2016,2,12.0,,,,12.0,12.0
2,3,2016-02-01,49,2016,2,66.0,,,,66.0,66.0
2,4,2016-02-01,8,2016,2,10.0,,,,10.0,10.0
2,5,2016-02-01,2,2016,2,3.0,,,,3.0,3.0
2,6,2016-02-01,29,2016,2,40.0,,,,40.0,40.0
2,7,2016-02-01,0,2016,2,0.0,,,,0.0,0.0
3,1,2016-02-01,6,2016,2,0.0,,,,0.0,0.0
3,2,2016-02-01,2,2016,2,2.0,,,,2.0,2.0
3,3,2016-02-01,4,2016,2,2.0,,,,2.0,2.0
3,4,2016-02-01,0,2016,2,2.0,,,,2.0,2.0
3,5,2016-02-01,0,2016,2,2.0,,,,2.0,2.0
3,6,2016-02-01,7,2016,2,1.0,,,,1.0,1.0
3,7,2016-02-01,0,2016,2,0.0,,,,0.0,0.0
1,1,2016-03-01,2,2016,3,8.0,6.0,,,7.0,7.0
